source,target,importance
AL627309.1,AL627309.1,0.9999962
LINC00115,LINC00115,1.0
HES4,HES4,1.0
ISG15,ISG15,1.0
SDF4,SDF4,1.0
SCNN1D,SCNN1D,1.0
MXRA8,MXRA8,0.9999985
RP4-758J18.13,RP4-758J18.13,1.0
AL645728.1,AL645728.1,0.99999976
C1orf233,C1orf233,1.0
NADK,NADK,1.0
PRKCZ,PRKCZ,1.0
MORN1,MORN1,0.99999267
RP3-395M20.12,RP3-395M20.12,1.0
FAM213B,FAM213B,1.0
TTC34,TTC34,1.0
ARHGEF16,ARHGEF16,1.0
WRAP73,WRAP73,0.999995
SMIM1,SMIM1,1.0
LRRC47,LRRC47,1.0
CEP104,CEP104,0.9999973
C1orf174,C1orf174,1.0
LINC01134,LINC01134,1.0
KCNAB2,KCNAB2,0.99999946
RP1-120G22.11,RP1-120G22.11,1.0
ICMT,ICMT,0.99999374
ZBTB48,ZBTB48,0.99999076
KLHL21,KLHL21,1.0
THAP3,THAP3,1.0
RP11-312B8.1,RP11-312B8.1,1.0
VAMP3,VAMP3,0.999995
RP3-467L1.4,RP3-467L1.4,0.99999654
UTS2,UTS2,1.0
RERE,RERE,0.99999315
PIK3CD,PIK3CD,1.0
RP11-558F24.4,RP11-558F24.4,0.9999942
CTNNBIP1,CTNNBIP1,0.99999446
UBE4B,UBE4B,1.0
APITD1,APITD1,0.99999356
APITD1-CORT,APITD1-CORT,0.99999344
RP4-635E18.6,RP4-635E18.6,1.0
FBXO2,FBXO2,1.0
MTHFR,MTHFR,1.0
PLOD1,PLOD1,0.99999595
EFHD2,EFHD2,0.9999976
CASP9,CASP9,1.0
DNAJC16,DNAJC16,1.0
SPEN,SPEN,0.9999988
ZBTB17,ZBTB17,0.99999243
CLCNKB,CLCNKB,1.0
C1orf134,C1orf134,0.9999947
RSG1,RSG1,1.0
NECAP2,NECAP2,1.0
CCL2,RP4-798A10.2,0.42758116
TENC1,RP4-798A10.2,0.4438684
LAMP3,RP4-798A10.2,0.47323784
SLC10A5,RP4-798A10.2,0.49354267
RP11-268G12.1,RP4-798A10.2,0.5104456
GFY,RP4-798A10.2,0.5469305
FCGR1A,RP4-798A10.2,0.5589376
AXDND1,RP4-798A10.2,0.5636868
RP4-798A10.2,RP4-798A10.2,1.0
RP11-108M9.6,RP11-108M9.6,0.99999624
ACTL8,ACTL8,0.9999955
RP1-43E13.2,RP1-43E13.2,1.0
AKR7A3,AKR7A3,0.99999505
AKR7A2,AKR7A2,1.0
PQLC2,PQLC2,0.9999883
CAPZB,CAPZB,1.0
AC004540.5,MINOS1-NBL1,0.43785006
MINOS1-NBL1,MINOS1-NBL1,1.0
TMCO4,TMCO4,0.999991
CAMK2N1,CAMK2N1,1.0
MUL1,MUL1,0.9999992
PINK1,PINK1,1.0
KIF17,KIF17,1.0
RAP1GAP,RAP1GAP,1.0
LINC00339,LINC00339,1.0
ALPK1,C1orf234,0.44309768
C1orf234,C1orf234,0.9999961
LUZP1,LUZP1,0.99999404
C1orf213,C1orf213,0.9999973
E2F2,E2F2,0.99999446
ID3,ID3,0.99999243
LYPLA2,LYPLA2,0.99999464
GALE,GALE,1.0
HMGCL,HMGCL,0.999998
FUCA1,FUCA1,1.0
SYF2,SYF2,1.0
C1orf63,C1orf63,1.0
RP3-465N24.6,RP3-465N24.6,0.99999136
RHCE,RHCE,0.99999565
TMEM57,TMEM57,0.99999267
LDLRAP1,LDLRAP1,1.0
STMN1,STMN1,0.9999995
SLC30A2,SLC30A2,0.99999887
FAM110D,FAM110D,0.9999911
RP11-29B2.5,CATSPER4,0.48034137
CATSPER4,CATSPER4,1.0
SH3BGRL3,SH3BGRL3,0.9999991
CD52,CD52,0.9999974
RPS6KA1,RPS6KA1,1.0
SFN,SFN,0.9999926
NUDC,NUDC,0.9999999
TRNP1,TRNP1,1.0
SYTL1,SYTL1,0.99999154
GPR3,GPR3,1.0
FAM76A,FAM76A,1.0
STX12,STX12,0.9999975
RPA2,RPA2,0.99999774
SMPDL3B,SMPDL3B,1.0
C20orf195,PTAFR,0.47880965
PTAFR,PTAFR,0.9999964
SESN2,SESN2,1.0
MED18,MED18,1.0
SNHG12,SNHG12,0.99999803
RP11-80A15.1,RP11-442N24__B.1,0.4001089
RP11-442N24__B.1,RP11-442N24__B.1,1.0
YTHDF2,YTHDF2,1.0
RP1-212P9.3,RP1-212P9.3,1.0
LAPTM5,LAPTM5,1.0
NDRG1,SDC3,0.42361873
SDC3,SDC3,0.99999994
PUM1,PUM1,1.0
NKAIN1,NKAIN1,0.99999064
FABP3,FABP3,1.0
RP11-73M7.9,RP11-73M7.9,1.0
SPOCD1,SPOCD1,1.0
CCDC28B,CCDC28B,1.0
IQCC,IQCC,0.9999947
MARCKSL1,MARCKSL1,1.0
FAM229A,FAM229A,0.999995
ZBTB8A,ZBTB8A,1.0
ZBTB8OS,ZBTB8OS,1.0
TMEM54,TMEM54,0.99999475
RP11-244H3.4,RP11-244H3.4,1.0
RP11-196G11.2,ZMYM6NB,0.4169435
ZMYM6NB,ZMYM6NB,1.0
SFPQ,SFPQ,0.99999934
CLSPN,CLSPN,0.9999999
RP4-789D17.5,RP4-789D17.5,0.9999979
AGO3,AGO3,0.9999961
MAP7D1,MAP7D1,1.0
THRAP3,THRAP3,1.0
EVA1B,EVA1B,1.0
RP11-268J15.5,RP11-268J15.5,1.0
CSF3R,CSF3R,0.9999955
DNALI1,DNALI1,1.0
C1orf109,C1orf109,1.0
CDCA8,CDCA8,1.0
SF3A3,SF3A3,1.0
FHL3,FHL3,0.999997
HEYL,HEYL,1.0
RP11-483F11.7,OXCT2,0.404693
OXCT2,OXCT2,1.0
RP1-118J21.25,RP1-118J21.25,0.9999968
MYCL,MYCL,0.9999924
RP1-118J21.5,RP1-118J21.5,0.999994
CAP1,CAP1,0.9999995
PPT1,PPT1,1.0
RP1-39G22.7,RP1-39G22.7,1.0
COL9A2,COL9A2,1.0
RP11-656D10.3,RP11-656D10.3,1.0
RIMS3,RIMS3,1.0
NFYC-AS1,NFYC-AS1,1.0
CITED4,CITED4,0.99999166
HIVEP3,HIVEP3,1.0
RIMKLA,RIMKLA,1.0
CCDC30,CCDC30,0.9999936
RP11-342M1.3,RP11-342M1.3,1.0
EBNA1BP2,EBNA1BP2,1.0
CDC20,CDC20,0.9999948
CPA5,SZT2-AS1,0.41842735
SZT2-AS1,SZT2-AS1,1.0
KDM4A-AS1,KDM4A-AS1,1.0
ARTN,ARTN,0.99999875
RP11-7O11.3,RP11-7O11.3,0.9999971
CCDC24,CCDC24,1.0
KIF2C,KIF2C,1.0
PTCH2,PTCH2,0.99999976
UROD,UROD,1.0
TESK2,TESK2,1.0
CCDC163P,CCDC163P,0.9999948
PRDX1,PRDX1,1.0
NASP,NASP,0.99999976
CCDC17,CCDC17,1.0
RP11-219G17.4,RP4-533D7.5,0.52717644
RP4-533D7.5,RP4-533D7.5,1.0
LURAP1,LURAP1,1.0
RAD54L,RAD54L,0.99999225
DMBX1,DMBX1,1.0
MOB3C,MOB3C,0.99999654
PDZK1IP1,PDZK1IP1,1.0
FOXD2,FOXD2,1.0
CDKN2C,CDKN2C,1.0
RNF11,RNF11,0.99999416
RP11-191G24.1,RP11-191G24.1,1.0
TRABD2A,RP4-657D16.3,0.49330518
CCDC168,RP4-657D16.3,0.49434566
ZNF836,RP4-657D16.3,0.5236684
RP4-657D16.3,RP4-657D16.3,0.99999034
TXNDC12,TXNDC12,1.0
KTI12,KTI12,1.0
ORC1,ORC1,0.99999595
ZCCHC11,ZCCHC11,0.9999945
CPT2,CPT2,1.0
RP5-1024G6.5,RP5-1024G6.5,0.9999958
RP11-117D22.2,RP11-117D22.2,1.0
YIPF1,YIPF1,0.9999999
LRRC42,LRRC42,1.0
RP4-758J24.5,RP4-758J24.5,1.0
TMEM59,TMEM59,0.99999875
TTC4,TTC4,1.0
OMA1,OMA1,0.999994
MYSM1,MYSM1,1.0
JUN,JUN,1.0
FGGY,FGGY,1.0
USP1,USP1,1.0
ATG4C,ATG4C,0.9999971
RP4-792G4.2,RP4-792G4.2,0.9999982
JAK1,JAK1,1.0
AK4,AK4,0.99999106
DNAJC6,DNAJC6,0.99999875
LEPR,LEPR,0.999996
MIER1,MIER1,0.999999
SLC35D1,SLC35D1,1.0
GADD45A,GADD45A,0.9999993
DEPDC1,DEPDC1,1.0
RP4-694A7.4,RP4-694A7.4,1.0
LRRC7,LRRC7,1.0
HHLA3,HHLA3,1.0
CTH,CTH,1.0
RP11-42O15.3,RP11-42O15.3,0.9999992
PTGER3,PTGER3,0.9999959
FPGT,FPGT,1.0
CRYZ,CRYZ,1.0
RABGGTB,RABGGTB,0.99999774
ZZZ3,ZZZ3,0.9999923
NEXN,NEXN,0.99999577
DNAJB4,DNAJB4,1.0
TTLL7,TTLL7,0.9999904
RP11-486G15.2,RP11-486G15.2,0.99999624
CTBS,CTBS,1.0
SYDE2,SYDE2,0.99999845
C1orf52,C1orf52,1.0
CTD-3064M3.4,RP11-290M5.4,0.4209042
RP11-138A9.2,RP11-290M5.4,0.44828358
DDC,RP11-290M5.4,0.46626487
LRP4,RP11-290M5.4,0.75491947
RP11-290M5.4,RP11-290M5.4,0.99999267
CYR61,CYR61,1.0
ZNHIT6,ZNHIT6,0.9999886
ODF2L,ODF2L,0.9999939
CLCA2,CLCA2,1.0
CLCA1,CLCA1,1.0
SH3GLB1,SH3GLB1,1.0
HS2ST1,HS2ST1,1.0
GTF2B,GTF2B,0.99999696
CCBL2,CCBL2,0.9999979
RBMXL1,RBMXL1,0.99999857
GBP2,GBP2,1.0
RP5-1007M22.2,RP5-1007M22.2,1.0
LRRC8C,LRRC8C,1.0
ZNF326,ZNF326,1.0
HFM1,HFM1,0.99998856
EPHX4,EPHX4,0.9999935
KIAA1107,KIAA1107,0.99999696
GLMN,GLMN,1.0
EVI5,EVI5,1.0
BCAR3,BCAR3,0.99999416
DNTTIP2,DNTTIP2,1.0
GPR20,CNN3,0.41810334
CNN3,CNN3,0.99999446
TMEM56,TMEM56,1.0
RWDD3,RWDD3,0.99999887
TRMT13,TRMT13,1.0
RP11-305E17.6,RP11-305E17.6,1.0
S1PR1,S1PR1,1.0
PRMT6,PRMT6,1.0
SLC25A24,SLC25A24,1.0
FAM102B,FAM102B,1.0
PRPF38B,PRPF38B,1.0
TAF13,TAF13,1.0
RP5-1065J22.8,RP5-1065J22.8,1.0
PSRC1,PSRC1,1.0
MYBPHL,MYBPHL,0.9999779
PSMA5,PSMA5,1.0
GNAI3,GNAI3,0.9999998
GSTM4,GSTM4,0.99999404
GSTM2,GSTM2,1.0
CD53,CD53,0.9999919
