source,target,importance
AL627309.1,AL627309.1,1.0
LINC00115,LINC00115,0.99998957
HES4,HES4,0.99999595
ISG15,ISG15,0.99999905
SDF4,SDF4,0.9999974
SCNN1D,SCNN1D,0.9999964
MXRA8,MXRA8,0.9999975
RP4-758J18.13,RP4-758J18.13,1.0
AL645728.1,AL645728.1,1.0
C1orf233,C1orf233,0.99999756
NADK,NADK,0.9999987
PRKCZ,PRKCZ,0.999991
MORN1,MORN1,1.0
RP3-395M20.12,RP3-395M20.12,1.0
FAM213B,FAM213B,0.9999957
TTC34,TTC34,0.9999998
ARHGEF16,ARHGEF16,0.99999493
WRAP73,WRAP73,1.0
SMIM1,SMIM1,0.9999895
LRRC47,LRRC47,1.0
CEP104,CEP104,1.0
C1orf174,C1orf174,0.9999994
LINC01134,LINC01134,0.99999535
KCNAB2,KCNAB2,1.0
RP1-120G22.11,RP1-120G22.11,0.9999965
ICMT,ICMT,1.0
ZBTB48,ZBTB48,1.0
KLHL21,KLHL21,1.0
THAP3,THAP3,0.9999933
RP11-312B8.1,RP11-312B8.1,1.0
VAMP3,VAMP3,0.9999947
RP3-467L1.4,RP3-467L1.4,0.9999946
UTS2,UTS2,0.99999106
RERE,RERE,0.9999958
PIK3CD,PIK3CD,0.99999714
RP11-558F24.4,RP11-558F24.4,1.0
CTNNBIP1,CTNNBIP1,1.0
UBE4B,UBE4B,1.0
APITD1,APITD1,1.0
APITD1-CORT,APITD1-CORT,0.9999966
RP4-635E18.6,RP4-635E18.6,0.99999475
FBXO2,FBXO2,0.9999979
MTHFR,MTHFR,1.0
PLOD1,PLOD1,0.9999974
EFHD2,EFHD2,1.0
CASP9,CASP9,0.99999845
DNAJC16,DNAJC16,0.99999255
SPEN,SPEN,1.0
ZBTB17,ZBTB17,1.0
SLCO4C1,CLCNKB,0.46410874
CLCNKB,CLCNKB,1.0
C1orf134,C1orf134,1.0
RSG1,RSG1,0.9999921
NECAP2,NECAP2,1.0
RP11-60I3.4,RP4-798A10.2,0.40326974
C10orf54,RP4-798A10.2,0.41029686
CCL2,RP4-798A10.2,0.4240957
GFY,RP4-798A10.2,0.48436257
FCGR1A,RP4-798A10.2,0.49495164
AXDND1,RP4-798A10.2,0.57915545
RP4-798A10.2,RP4-798A10.2,0.9999994
RP11-108M9.6,RP11-108M9.6,0.9999927
ACTL8,ACTL8,1.0
RP1-43E13.2,RP1-43E13.2,0.99999225
AKR7A3,AKR7A3,0.9999965
AKR7A2,AKR7A2,1.0
PQLC2,PQLC2,1.0
CAPZB,CAPZB,1.0
AC004540.5,MINOS1-NBL1,0.4178809
MINOS1-NBL1,MINOS1-NBL1,0.99999166
TMCO4,TMCO4,0.9999916
CAMK2N1,CAMK2N1,0.9999983
MUL1,MUL1,1.0
PINK1,PINK1,1.0
KIF17,KIF17,0.9999952
RAP1GAP,RAP1GAP,0.9999899
LINC00339,LINC00339,1.0
C17orf50,C1orf234,0.4092577
C1orf234,C1orf234,1.0
LUZP1,LUZP1,1.0
C1orf213,C1orf213,1.0
E2F2,E2F2,0.99998796
ID3,ID3,1.0
LYPLA2,LYPLA2,0.99999815
GALE,GALE,0.9999989
HMGCL,HMGCL,0.9999995
FUCA1,FUCA1,0.9999922
SYF2,SYF2,1.0
C1orf63,C1orf63,0.99999523
RP3-465N24.6,RP3-465N24.6,1.0
RHCE,RHCE,0.99999535
TMEM57,TMEM57,0.9999972
LDLRAP1,LDLRAP1,0.9999967
STMN1,STMN1,1.0
SLC30A2,SLC30A2,0.99999714
FAM110D,FAM110D,1.0
CATSPER4,CATSPER4,1.0
SH3BGRL3,SH3BGRL3,1.0
CD52,CD52,1.0
RPS6KA1,RPS6KA1,0.9999969
SFN,SFN,0.99998426
NUDC,NUDC,1.0
TRNP1,TRNP1,0.99999845
SYTL1,SYTL1,0.99999505
GPR3,GPR3,1.0
FAM76A,FAM76A,0.99999714
STX12,STX12,1.0
RPA2,RPA2,0.999998
SMPDL3B,SMPDL3B,0.9999885
RP11-45P15.4,PTAFR,0.44044662
PTAFR,PTAFR,0.9999915
SESN2,SESN2,0.9999966
MED18,MED18,1.0
SNHG12,SNHG12,1.0
NKAPL,RP11-442N24__B.1,0.43294832
RP11-80A15.1,RP11-442N24__B.1,0.45532933
RP11-442N24__B.1,RP11-442N24__B.1,1.0
YTHDF2,YTHDF2,0.9999941
RP1-212P9.3,RP1-212P9.3,1.0
LAPTM5,LAPTM5,1.0
SDC3,SDC3,1.0
PUM1,PUM1,1.0
NKAIN1,NKAIN1,1.0
FABP3,FABP3,0.99999267
RP11-73M7.9,RP11-73M7.9,0.9999966
AC012065.7,SPOCD1,0.42361918
STAMBPL1,SPOCD1,0.5391229
SPOCD1,SPOCD1,1.0
CCDC28B,CCDC28B,0.99999624
IQCC,IQCC,1.0
MARCKSL1,MARCKSL1,1.0
FAM229A,FAM229A,1.0
ZBTB8A,ZBTB8A,0.99999464
ZBTB8OS,ZBTB8OS,0.9999964
TMEM54,TMEM54,1.0
RP11-244H3.4,RP11-244H3.4,0.9999909
ZMYM6NB,ZMYM6NB,0.9999946
SFPQ,SFPQ,0.99999887
CLSPN,CLSPN,1.0
RP4-789D17.5,RP4-789D17.5,0.9999983
AGO3,AGO3,1.0
MAP7D1,MAP7D1,0.9999972
THRAP3,THRAP3,0.999999
EVA1B,EVA1B,1.0
RP11-268J15.5,RP11-268J15.5,1.0
CSF3R,CSF3R,0.9999946
DNALI1,DNALI1,1.0
C1orf109,C1orf109,1.0
CDCA8,CDCA8,1.0
SF3A3,SF3A3,0.9999992
FHL3,FHL3,0.9999981
HEYL,HEYL,1.0
OXCT2,OXCT2,1.0
RP1-118J21.25,RP1-118J21.25,0.9999973
MYCL,MYCL,0.99999064
RP1-118J21.5,RP1-118J21.5,1.0
CAP1,CAP1,0.9999988
PPT1,PPT1,0.9999998
RP1-39G22.7,RP1-39G22.7,1.0
COL9A2,COL9A2,1.0
RP11-656D10.3,RP11-656D10.3,0.9999999
RIMS3,RIMS3,1.0
NFYC-AS1,NFYC-AS1,1.0
CITED4,CITED4,1.0
HIVEP3,HIVEP3,0.99999434
RIMKLA,RIMKLA,1.0
CCDC30,CCDC30,0.9999965
RP11-342M1.3,RP11-342M1.3,1.0
EBNA1BP2,EBNA1BP2,1.0
CDC20,CDC20,1.0
SZT2-AS1,SZT2-AS1,1.0
KDM4A-AS1,KDM4A-AS1,1.0
CASC15,ARTN,0.4018957
AC024592.12,ARTN,0.48297885
ARTN,ARTN,0.99999636
RP11-7O11.3,RP11-7O11.3,1.0
CCDC24,CCDC24,1.0
KIF2C,KIF2C,1.0
PTCH2,PTCH2,1.0
UROD,UROD,0.9999999
TESK2,TESK2,0.999996
CCDC163P,CCDC163P,1.0
PRDX1,PRDX1,1.0
NASP,NASP,1.0
CCDC17,CCDC17,0.9999895
RP11-219G17.4,RP4-533D7.5,0.41884348
RP4-533D7.5,RP4-533D7.5,0.99999845
LURAP1,LURAP1,1.0
RAD54L,RAD54L,0.9999954
DMBX1,DMBX1,0.99999684
MOB3C,MOB3C,1.0
PDZK1IP1,PDZK1IP1,1.0
FOXD2,FOXD2,0.99999845
CDKN2C,CDKN2C,1.0
RNF11,RNF11,1.0
RP11-191G24.1,RP11-191G24.1,0.99999595
RP4-657D16.3,RP4-657D16.3,1.0
TXNDC12,TXNDC12,1.0
KTI12,KTI12,1.0
ORC1,ORC1,1.0
ZCCHC11,ZCCHC11,0.99999225
CPT2,CPT2,0.9999969
RP5-1024G6.5,RP5-1024G6.5,0.99998885
RP11-117D22.2,RP11-117D22.2,0.99997896
YIPF1,YIPF1,1.0
LRRC42,LRRC42,0.9999947
RP4-758J24.5,RP4-758J24.5,1.0
TMEM59,TMEM59,0.99999946
TTC4,TTC4,1.0
OMA1,OMA1,0.9999985
MYSM1,MYSM1,0.9999975
JUN,JUN,1.0
FGGY,FGGY,1.0
USP1,USP1,1.0
ATG4C,ATG4C,1.0
RP4-792G4.2,RP4-792G4.2,0.9999921
JAK1,JAK1,1.0
AK4,AK4,0.999991
DNAJC6,DNAJC6,1.0
LEPR,LEPR,1.0
MIER1,MIER1,0.9999985
SLC35D1,SLC35D1,1.0
GADD45A,GADD45A,1.0
DEPDC1,DEPDC1,0.9999945
RP4-694A7.4,RP4-694A7.4,0.99999416
LRRC7,LRRC7,0.9999866
HHLA3,HHLA3,1.0
CTH,CTH,1.0
RP11-42O15.3,RP11-42O15.3,1.0
PTGER3,PTGER3,1.0
FPGT,FPGT,0.99999595
CRYZ,CRYZ,0.99999267
RABGGTB,RABGGTB,1.0
ZZZ3,ZZZ3,0.999994
NEXN,NEXN,0.99999374
DNAJB4,DNAJB4,0.9999964
TTLL7,TTLL7,0.9999923
RP11-486G15.2,RP11-486G15.2,0.9999935
CTBS,CTBS,1.0
SYDE2,SYDE2,1.0
C1orf52,C1orf52,1.0
RP11-290M5.4,RP11-290M5.4,0.9999977
CYR61,CYR61,1.0
ZNHIT6,ZNHIT6,0.9999917
ODF2L,ODF2L,0.99999917
CLCA2,CLCA2,0.99999803
CLCA1,CLCA1,1.0
SH3GLB1,SH3GLB1,0.9999971
HS2ST1,HS2ST1,1.0
GTF2B,GTF2B,0.9999988
CCBL2,CCBL2,0.9999998
RBMXL1,RBMXL1,0.9999995
GBP2,GBP2,1.0
RP5-1007M22.2,RP5-1007M22.2,0.9999971
LRRC8C,LRRC8C,1.0
ZNF326,ZNF326,0.9999951
HFM1,HFM1,0.9999983
EPHX4,EPHX4,0.99998844
KIAA1107,KIAA1107,1.0
GLMN,GLMN,0.9999953
EVI5,EVI5,0.9999953
BCAR3,BCAR3,1.0
DNTTIP2,DNTTIP2,1.0
CNN3,CNN3,1.0
TMEM56,TMEM56,1.0
RWDD3,RWDD3,0.9999948
TRMT13,TRMT13,0.9999898
RP11-305E17.6,RP11-305E17.6,0.99999815
S1PR1,S1PR1,1.0
PRMT6,PRMT6,0.99999434
SLC25A24,SLC25A24,0.9999994
FAM102B,FAM102B,0.9999996
PRPF38B,PRPF38B,0.9999975
TAF13,TAF13,1.0
RP5-1065J22.8,RP5-1065J22.8,0.99999106
PSRC1,PSRC1,0.99999756
S100A9,MYBPHL,0.41799027
MYBPHL,MYBPHL,1.0
PSMA5,PSMA5,0.9999999
GNAI3,GNAI3,0.9999967
GSTM4,GSTM4,0.99999535
GSTM2,GSTM2,0.9999969
CD53,CD53,1.0
LRIF1,LRIF1,0.9999934
CEPT1,CEPT1,1.0
DENND2D,DENND2D,0.99999446
CHI3L2,CHI3L2,0.99999726
OVGP1,OVGP1,0.99998695
WDR77,WDR77,1.0
C1orf162,C1orf162,1.0
ADORA3,ADORA3,1.0
FAM212B,FAM212B,0.9999942
DDX20,DDX20,0.99999535
WNT2B,WNT2B,1.0
ST7L,ST7L,0.99999726
RHOC,RHOC,0.99999833
B3GNT9,RP11-389O22.1,0.40222198
RP11-389O22.1,RP11-389O22.1,1.0
RP11-31F15.2,RP11-31F15.2,0.99998873
PHTF1,PHTF1,0.99999505
RSBN1,RSBN1,0.9999926
PTPN22,PTPN22,1.0
RP5-1073O3.7,RP5-1073O3.7,1.0
BCAS2,BCAS2,0.9999964
DENND2C,DENND2C,1.0
NRAS,NRAS,1.0
VANGL1,VANGL1,1.0
GOLT1A,SLC22A15,0.44503635
SLC22A15,SLC22A15,1.0
IGSF3,IGSF3,1.0
TRIM45,TRIM45,0.99999946
MAN1A2,MAN1A2,0.99999243
FAM46C,FAM46C,0.99999875
WDR3,WDR3,0.9999998
ZNF697,ZNF697,0.9999955
PHGDH,PHGDH,0.9999955
FAM72B,FAM72B,1.0
RP11-417J8.3,RP11-417J8.3,1.0
RP11-782C8.1,RP11-782C8.1,0.99999744
RP11-782C8.5,RP11-782C8.5,0.9999829
RP11-435B5.3,RP11-435B5.3,1.0
RP11-435B5.5,RP11-435B5.5,0.99999905
AL590452.1,AL590452.1,0.99999636
RP11-219G17.4,RP11-326G21.1,0.5074992
RP11-326G21.1,RP11-326G21.1,1.0
NOTCH2NL,NOTCH2NL,1.0
TXNIP,TXNIP,0.9999967
POLR3GL,POLR3GL,0.99999535
LIX1L,LIX1L,0.9999939
PEX11B,PEX11B,0.99999213
ITGA10,ITGA10,0.99999464
GPR89A,GPR89A,1.0
IL11,FMO5,0.42683455
ANGPTL4,FMO5,0.44873726
MYO5A,FMO5,0.487282
NDRG1,FMO5,0.48923787
FMO5,FMO5,0.9999877
BCL9,BCL9,0.99998975
ACP6,ACP6,1.0
NBPF15,NBPF15,1.0
RP11-14N7.2,RP11-14N7.2,0.9999944
RP11-403I13.8,RP11-403I13.8,1.0
CREB5,FCGR1A,0.41001317
LAMP3,FCGR1A,0.41035783
