source,target,importance
A1BG,A1BG,1.0
AAAS,AAAS,0.99997836
AACS,AACS,0.9999829
AADAT,AADAT,0.9999881
AAGAB,AAGAB,0.99997306
AAK1,AAK1,0.9999602
AAMDC,AAMDC,0.999998
AAMP,AAMP,1.0
AANAT,AANAT,1.0
AAR2,AAR2,0.9999976
AARS2,AARS2,0.99999994
AARSD1,AARSD1,1.0
AASDH,AASDH,1.0
AASDHPPT,AASDHPPT,1.0
AASS,AASS,0.99999636
AATF,AATF,1.0
AATK,AATK,0.9999519
ABAT,ABAT,1.0
ABTB2,ABCA1,0.4050819
CD244,ABCA1,0.45344988
ITLN1,ABCA1,0.5087053
ABCA1,ABCA1,1.0
ABCA2,ABCA2,0.9999506
ABCA3,ABCA3,0.9999995
FGD2,ABCA5,0.4133672
ABCA5,ABCA5,1.0
ABCA6,ABCA6,0.99999046
ABCA7,ABCA7,0.99998957
ABCB10,ABCB10,1.0
DMKN,ABCB6,0.4180133
ABCB6,ABCB6,1.0
ABCB7,ABCB7,0.99998
ABCB8,ABCB8,1.0
ABCB9,ABCB9,0.99999386
ABCC1,ABCC1,0.99999666
ABCC10,ABCC10,1.0
PABPN1L,ABCC2,0.40421116
ABCC2,ABCC2,0.9999922
ABCC3,ABCC3,0.9999917
ABCC4,ABCC4,1.0
ABCC5,ABCC5,0.99997145
ABCC6,ABCC6,1.0
ABCD1,ABCD1,1.0
ABCD3,ABCD3,1.0
ABCD4,ABCD4,0.999981
ABCE1,ABCE1,0.9999825
ABCF1,ABCF1,1.0
ABCF2,ABCF2,1.0
ABCF3,ABCF3,1.0
ABHD1,ABHD1,0.99997896
ABHD10,ABHD10,1.0
ABHD11,ABHD11,0.99999493
ABHD12,ABHD12,0.9999782
ABHD13,ABHD13,1.0
ABHD14A,ABHD14A,1.0
ABHD14B,ABHD14B,0.99999154
ABHD15,ABHD15,0.99996597
ABHD16A,ABHD16A,1.0
ABHD17A,ABHD17A,0.99999565
ABHD17B,ABHD17B,1.0
NUPR1,ABHD17C,0.41113278
ABHD17C,ABHD17C,0.9999871
ABHD18,ABHD18,0.99998456
ABHD2,ABHD2,1.0
ABHD3,ABHD3,1.0
ABHD4,ABHD4,1.0
ABHD5,ABHD5,0.9999747
ABHD6,ABHD6,1.0
ABHD8,ABHD8,1.0
ABI1,ABI1,0.99998623
ABI2,ABI2,0.99999774
ABL1,ABL1,0.99998724
ABL2,ABL2,1.0
ABR,ABR,0.9999685
ABRACL,ABRACL,0.9999877
ABT1,ABT1,1.0
ABTB1,ABTB1,1.0
ABCA1,ABTB2,0.4050819
ABTB2,ABTB2,0.99995136
ACAA1,ACAA1,0.99999714
ACAA2,ACAA2,0.9999804
ACACA,ACACA,1.0
ACAD10,ACAD10,0.9999923
ACAD8,ACAD8,1.0
ACAD9,ACAD9,1.0
ACADM,ACADM,1.0
ACADS,ACADS,0.99999267
ACADSB,ACADSB,1.0
ACADVL,ACADVL,1.0
ACAP1,ACAP1,0.9999886
ACAP2,ACAP2,1.0
ACAP3,ACAP3,0.99997723
ACAT1,ACAT1,1.0
ACAT2,ACAT2,1.0
ACBD3,ACBD3,0.9999798
ACBD4,ACBD4,0.9999815
ACBD5,ACBD5,1.0
ACBD6,ACBD6,1.0
MZB1,ACBD7,0.45246089
ACBD7,ACBD7,0.9999933
ACCS,ACCS,1.0
ACD,ACD,1.0
ACE,ACE,0.99995327
ACER3,ACER3,0.99998033
ACHE,ACHE,1.0
ACIN1,ACIN1,1.0
ACKR2,ACKR2,0.99996275
ACLY,ACLY,1.0
ACO1,ACO1,0.9999611
ACO2,ACO2,0.9999934
ACOT11,ACOT11,0.99996555
ACOT13,ACOT13,1.0
ACOT7,ACOT7,1.0
ACOT8,ACOT8,0.9999943
ACOT9,ACOT9,1.0
ACOX1,ACOX1,0.9999838
ACOX2,ACOX2,1.0
ACOX3,ACOX3,1.0
TEX14,ACOXL,0.414886
ACOXL,ACOXL,1.0
ACP1,ACP1,0.99999803
ACP2,ACP2,1.0
ACP5,ACP5,1.0
ACP6,ACP6,0.9999559
ACRBP,ACRBP,0.99999994
ACSBG1,ACSBG1,1.0
ACSF2,ACSF2,0.9999673
ACSF3,ACSF3,0.9999971
ACSL1,ACSL1,1.0
ACSL3,ACSL3,0.99999744
ACSL4,ACSL4,1.0
ACSL6,ACSL6,1.0
ACSM1,ACSM1,1.0
ACSM3,ACSM3,0.99997467
ACSS1,ACSS1,1.0
ACSS2,ACSS2,1.0
ACTA1,ACTA1,1.0
ACTB,ACTB,0.9999997
ACTG1,ACTG1,1.0
ACTL6A,ACTL6A,1.0
ACTL8,ACTL8,1.0
ACTN1,ACTN1,1.0
ACTN2,ACTN2,1.0
ACTN4,ACTN4,0.9999929
ACTR10,ACTR10,0.99998134
ACTR1A,ACTR1A,1.0
ACTR1B,ACTR1B,0.99998885
ACTR2,ACTR2,1.0
ACTR3,ACTR3,0.99998647
ACTR3B,ACTR3B,0.99998313
ACTR3C,ACTR3C,0.9999999
ACTR5,ACTR5,0.9999676
ACTR6,ACTR6,0.9999598
ACTR8,ACTR8,1.0
ACVR1,ACVR1,1.0
ACVR1B,ACVR1B,0.99999166
ACVR2A,ACVR2A,1.0
ACVR2B,ACVR2B,0.9999924
ACY1,ACY1,1.0
ACYP1,ACYP1,1.0
ACYP2,ACYP2,0.9999887
ADA,ADA,1.0
ADAL,ADAL,1.0
ADAM10,ADAM10,1.0
ADAM11,ADAM11,0.9999692
ADAM15,ADAM15,0.99997705
ADAM17,ADAM17,1.0
ADAM22,ADAM22,0.9999891
ADAM32,ADAM32,0.9999612
ADAM8,ADAM8,0.99999475
ADAM9,ADAM9,1.0
ADAMTS10,ADAMTS10,1.0
ADAMTS14,ADAMTS14,1.0
ADAMTS3,ADAMTS3,1.0
ADAMTS6,ADAMTS6,0.9999944
ADAMTSL4,ADAMTSL4,1.0
ADAMTSL5,ADAMTSL5,1.0
ADAR,ADAR,1.0
ADARB1,ADARB1,1.0
ADAT1,ADAT1,1.0
ADAT2,ADAT2,0.9999755
ADAT3,ADAT3,1.0
ADCK1,ADCK1,1.0
ADCK2,ADCK2,0.9999786
ADCK5,ADCK5,1.0
ADCY10,ADCY10,0.99996185
ADCY3,ADCY3,1.0
ADCY4,ADCY4,0.99998254
ADCY6,ADCY6,0.99996334
ADCY7,ADCY7,1.0
ADCY9,ADCY9,1.0
ADD1,ADD1,1.0
ADD2,ADD2,1.0
ADD3,ADD3,0.9999846
PROC,ADGRA2,0.4183412
S100A14,ADGRA2,0.42273214
CHRNB4,ADGRA2,0.4427779
ADGRA2,ADGRA2,0.99997455
ADGRA3,ADGRA3,0.99997216
ADGRE2,ADGRE2,1.0
ADGRE5,ADGRE5,1.0
ADGRF3,ADGRF3,0.9999847
ADGRG3,ADGRG3,0.99999946
ADGRL1,ADGRL1,0.99999386
ADGRV1,ADGRV1,1.0
ADH5,ADH5,0.99999064
ADI1,ADI1,0.9999879
ADIPOR1,ADIPOR1,1.0
ADIPOR2,ADIPOR2,0.99996734
ADK,ADK,1.0
ADM,ADM,1.0
ADM2,ADM2,1.0
ADM5,ADM5,0.9999536
ADNP,ADNP,0.99996376
ADNP2,ADNP2,0.99997836
ADO,ADO,0.9999925
ADORA2B,ADORA2B,0.99998045
TMIGD3,ADORA3,1.0
ADORA3,ADORA3,1.0
ADPGK,ADPGK,1.0
ADPRH,ADPRH,1.0
ADPRHL1,ADPRHL1,0.9999706
ADPRM,ADPRM,0.9999837
ADRA1D,ADRA1D,0.9999713
ADRM1,ADRM1,0.99999946
ADSL,ADSL,1.0
ADTRP,ADTRP,0.999934
AEBP1,AEBP1,0.99999297
AEBP2,AEBP2,0.9999944
AEN,AEN,0.9999786
AFAP1,AFAP1,0.9999614
AFDN,AFDN,1.0
AFF1,AFF1,0.99998724
AFF3,AFF3,1.0
AFF4,AFF4,1.0
AFG3L2,AFG3L2,0.99999434
AFMID,AFMID,0.9999675
AFTPH,AFTPH,0.9999988
AGA,AGA,0.9999849
AGAP1,AGAP1,1.0
AGAP3,AGAP3,0.9999841
AGAP4,AGAP4,1.0
AGAP5,AGAP5,1.0
AGAP6,AGAP6,1.0
AGBL3,AGBL3,1.0
AGBL4,AGBL4,1.0
AGBL5,AGBL5,1.0
AGER,AGER,1.0
AGFG1,AGFG1,0.9999792
AGFG2,AGFG2,0.9999449
AGGF1,AGGF1,1.0
AGK,AGK,0.99999064
AGL,AGL,1.0
AGMAT,AGMAT,0.99994355
AGO1,AGO1,0.9999662
AGO2,AGO2,1.0
AGO3,AGO3,0.9999609
AGO4,AGO4,1.0
AGPAT1,AGPAT1,1.0
AGPAT2,AGPAT2,1.0
AGPAT3,AGPAT3,1.0
AGPAT4,AGPAT4,0.9999948
AGPAT5,AGPAT5,1.0
AGPS,AGPS,0.9999692
AGRN,AGRN,0.9999664
AGTPBP1,AGTPBP1,1.0
AGTRAP,AGTRAP,0.99997634
AHCTF1,AHCTF1,0.9999782
AHCY,AHCY,1.0
AHCYL1,AHCYL1,1.0
AHCYL2,AHCYL2,0.9999705
AHDC1,AHDC1,0.9999858
AHI1,AHI1,0.99998605
AHNAK,AHNAK,0.9999989
AHRR,AHRR,0.9999867
AHSA1,AHSA1,0.9999862
AHSP,AHSP,1.0
AICDA,AICDA,0.9999805
AIDA,AIDA,0.9999733
AIF1,AIF1,0.9999993
AIF1L,AIF1L,0.9999351
AIFM1,AIFM1,0.9999994
AIFM2,AIFM2,0.99997914
AIG1,AIG1,1.0
AIMP1,AIMP1,1.0
AIMP2,AIMP2,0.9999896
AIP,AIP,1.0
AJUBA,AJUBA,0.99998635
AK1,AK1,0.9999977
AK2,AK2,1.0
AK4,AK4,0.99997455
TAF9,AK6,1.0
AK6,AK6,1.0
