source,target,importance
A1BG,A1BG,0.9999906
AAAS,AAAS,1.0
AACS,AACS,1.0
AADAT,AADAT,1.0
AAGAB,AAGAB,1.0
AAK1,AAK1,1.0
AAMDC,AAMDC,0.99996537
AAMP,AAMP,0.9999899
AANAT,AANAT,0.9999893
AAR2,AAR2,0.99999523
AARS2,AARS2,0.9999455
AARSD1,AARSD1,1.0
AASDH,AASDH,1.0
AASDHPPT,AASDHPPT,1.0
AASS,AASS,1.0
AATF,AATF,0.9999865
AATK,AATK,1.0
ABAT,ABAT,0.99998325
ERO1B,ABCA1,0.40222874
YPEL4,ABCA1,0.45095575
C6orf163,ABCA1,0.46341804
DHDH,ABCA1,0.4646729
ABTB2,ABCA1,0.51163125
ITLN1,ABCA1,0.70515305
ABCA1,ABCA1,1.0
ABCA2,ABCA2,1.0
ABCA3,ABCA3,0.99999446
FGD2,ABCA5,0.48248586
ABCA5,ABCA5,1.0
ABCA6,ABCA6,1.0
ABCA7,ABCA7,1.0
ABCB10,ABCB10,0.9999928
ABCB6,ABCB6,0.99999595
ABCB7,ABCB7,1.0
ABCB8,ABCB8,0.9999998
ABCB9,ABCB9,0.999996
ABCC1,ABCC1,1.0
ABCC10,ABCC10,0.9999591
CORO6,ABCC2,0.41686562
PDCD1,ABCC2,0.6292952
ABCC2,ABCC2,0.9999635
ABCC3,ABCC3,0.99996716
ABCC4,ABCC4,1.0
ABCC5,ABCC5,0.9999694
ABCC6,ABCC6,0.9999775
ABCD1,ABCD1,0.9999508
ABCD3,ABCD3,0.9999943
ABCD4,ABCD4,1.0
ABCE1,ABCE1,0.99998546
ABCF1,ABCF1,1.0
ABCF2,ABCF2,0.99997413
ABCF3,ABCF3,0.999985
ABHD1,ABHD1,0.9999736
ABHD10,ABHD10,1.0
ABHD11,ABHD11,1.0
ABHD12,ABHD12,0.9999622
ABHD13,ABHD13,1.0
ABHD14A,ABHD14A,1.0
ABHD14B,ABHD14B,1.0
ABHD15,ABHD15,1.0
ABHD16A,ABHD16A,1.0
ABHD17A,ABHD17A,0.99997807
ABHD17B,ABHD17B,1.0
NUPR1,ABHD17C,0.41113943
ABHD17C,ABHD17C,0.99995
ABHD18,ABHD18,0.9999972
ABHD2,ABHD2,1.0
ABHD3,ABHD3,0.9999838
ABHD4,ABHD4,0.99996054
ABHD5,ABHD5,1.0
ABHD6,ABHD6,1.0
ABHD8,ABHD8,0.999958
ABI1,ABI1,1.0
ABI2,ABI2,1.0
ABL1,ABL1,1.0
ABL2,ABL2,1.0
ABR,ABR,0.9999576
ABRACL,ABRACL,1.0
ABT1,ABT1,0.999997
ABTB1,ABTB1,1.0
